season,race_name,fullname,numero_quali,tiempo_ms,tiempo_TD,tiempo_min_ms,tiempo_min_TD,diff_ms_with_1st_in_quali,diff_TD_with_1st_in_quali
2021,Azerbaijan Grand Prix,Carlos Sainz,1,102121.0,00:01:42.120,101545.0,0 days 00:01:41.545000,576.0,00:00:00.576
2021,Azerbaijan Grand Prix,Lando Norris,1,102167.0,00:01:42.167,101545.0,0 days 00:01:41.545000,622.0,00:00:00.622
2021,Azerbaijan Grand Prix,Sergio Pérez,1,101968.0,00:01:41.968,101545.0,0 days 00:01:41.545000,423.0,00:00:00.423
2021,Azerbaijan Grand Prix,Yuki Tsunoda,1,102521.0,00:01:42.521,101545.0,0 days 00:01:41.545000,976.0,00:00:00.976
2021,Azerbaijan Grand Prix,Fernando Alonso,1,102934.0,00:01:42.933,101545.0,0 days 00:01:41.545000,1389.0,00:00:01.389
2021,Azerbaijan Grand Prix,Valtteri Bottas,1,102701.0,00:01:42.700,101545.0,0 days 00:01:41.545000,1156.0,00:00:01.155
2021,Azerbaijan Grand Prix,Sebastian Vettel,1,102460.0,00:01:42.459,101545.0,0 days 00:01:41.545000,915.0,00:00:00.915
2021,Azerbaijan Grand Prix,Esteban Ocon,1,102426.0,00:01:42.426,101545.0,0 days 00:01:41.545000,881.0,00:00:00.881
2021,Azerbaijan Grand Prix,Daniel Ricciardo,1,102304.0,00:01:42.304,101545.0,0 days 00:01:41.545000,759.0,00:00:00.759
2021,Azerbaijan Grand Prix,Kimi Räikkönen,1,102923.0,00:01:42.923,101545.0,0 days 00:01:41.545000,1378.0,00:00:01.378
2021,Azerbaijan Grand Prix,George Russell,1,102728.0,00:01:42.727,101545.0,0 days 00:01:41.545000,1183.0,00:00:01.183
2021,Azerbaijan Grand Prix,Nicholas Latifi,1,103128.0,00:01:43.128,101545.0,0 days 00:01:41.545000,1583.0,00:00:01.583
2021,Azerbaijan Grand Prix,Mick Schumacher,1,104158.0,00:01:44.158,101545.0,0 days 00:01:41.545000,2613.0,00:00:02.613
2021,Azerbaijan Grand Prix,Nikita Mazepin,1,104238.0,00:01:44.237,101545.0,0 days 00:01:41.545000,2693.0,00:00:02.693
2021,Azerbaijan Grand Prix,Lance Stroll,1,,,101545.0,0 days 00:01:41.545000,,
2021,Azerbaijan Grand Prix,Antonio Giovinazzi,1,,,101545.0,0 days 00:01:41.545000,,
