season,race_name,numero_quali,Alexander Albon,Antonio Giovinazzi,Carlos Sainz,Charles Leclerc,Daniel Ricciardo,Esteban Ocon,Fernando Alonso,George Russell,Guanyu Zhou,Kevin Magnussen,Kimi Räikkönen,Lance Stroll,Lando Norris,Lewis Hamilton,Liam Lawson,Logan Sargeant,Max Verstappen,Mick Schumacher,Nicholas Latifi,Nico Hülkenberg,Nikita Mazepin,Nyck de Vries,Oscar Piastri,Pierre Gasly,Robert Kubica,Sebastian Vettel,Sergio Pérez,Valtteri Bottas,Yuki Tsunoda
2021,Russian Grand Prix,1,,111023.0,107924.0,108470.0,108345.0,108099.0,107877.0,108303.0,,,109586.0,108322.0,107238.0,105992.0,,,0.0,109830.0,108252.0,,113764.0,,,107828.0,,107205.0,106455.0,106396.0,108854.0
2021,Russian Grand Prix,2,,0.0,106521.0,0.0,106361.0,106070.0,105514.0,106435.0,,,0.0,106360.0,105827.0,105129.0,,,0.0,0.0,0.0,,0.0,,,106641.0,,106573.0,105834.0,105306.0,106751.0
2021,Russian Grand Prix,3,,0.0,102510.0,0.0,104156.0,105865.0,104204.0,102983.0,,,0.0,104956.0,101993.0,104050.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,105337.0,104710.0,0.0
2021,Saudi Arabian Grand Prix,1,,88899.0,88237.0,88310.0,88216.0,88752.0,88944.0,88926.0,,,88856.0,89368.0,88338.0,88466.0,,,88285.0,89464.0,89177.0,,90473.0,,,88401.0,,89198.0,88021.0,88057.0,88503.0
2021,Saudi Arabian Grand Prix,2,,88616.0,113652.0,88459.0,88668.0,88574.0,88920.0,89054.0,,,88885.0,0.0,88344.0,87712.0,,,87953.0,0.0,0.0,,0.0,,,88314.0,,0.0,87946.0,88054.0,88222.0
2021,Saudi Arabian Grand Prix,3,,88754.0,0.0,88054.0,0.0,88647.0,0.0,0.0,,,0.0,0.0,88180.0,87511.0,,,87653.0,0.0,0.0,,0.0,,,88125.0,,0.0,88123.0,87622.0,88442.0
2021,Spanish Grand Prix,1,,78549.0,78205.0,78041.0,78264.0,78281.0,78281.0,78445.0,,,78917.0,78241.0,77821.0,78245.0,,,78090.0,79117.0,79219.0,,79807.0,,,78190.0,,78289.0,78203.0,78005.0,78556.0
2021,Spanish Grand Prix,2,,78356.0,77656.0,77717.0,77719.0,77743.0,77966.0,79154.0,,,0.0,77974.0,77696.0,77166.0,,,76922.0,0.0,0.0,,0.0,,,77982.0,,78079.0,77669.0,77142.0,0.0
2021,Spanish Grand Prix,3,,0.0,77620.0,77510.0,77622.0,77580.0,78147.0,0.0,,,0.0,0.0,78010.0,76741.0,,,76777.0,0.0,0.0,,0.0,,,0.0,,0.0,77701.0,76873.0,0.0
2021,Styrian Grand Prix,1,,65092.0,64859.0,64745.0,65142.0,65217.0,64971.0,65033.0,,,65429.0,64821.0,64584.0,64672.0,,,64489.0,66041.0,65175.0,,66192.0,,,64765.0,,65051.0,64638.0,64537.0,64608.0
2021,Styrian Grand Prix,2,,64913.0,64800.0,64646.0,64808.0,0.0,64582.0,64671.0,,,0.0,64663.0,64298.0,64512.0,,,64433.0,0.0,0.0,,0.0,,,64429.0,,64875.0,64197.0,64443.0,64631.0
2021,Styrian Grand Prix,3,,0.0,0.0,64472.0,0.0,0.0,64574.0,0.0,,,0.0,64708.0,64120.0,64067.0,,,63841.0,0.0,0.0,,0.0,,,64236.0,,0.0,64168.0,64035.0,64514.0
2021,São Paulo Grand Prix,1,,69342.0,69046.0,69155.0,69374.0,69430.0,69391.0,69953.0,,,69598.0,69663.0,69365.0,68733.0,,,69329.0,70329.0,69897.0,,70589.0,,,69347.0,,69451.0,69172.0,69040.0,69350.0
2021,São Paulo Grand Prix,2,,70227.0,69031.0,68859.0,69093.0,69189.0,69137.0,0.0,,,69503.0,0.0,69030.0,68068.0,,,68499.0,0.0,0.0,,0.0,,,68903.0,,69399.0,68973.0,68426.0,69483.0
2021,São Paulo Grand Prix,3,,0.0,68826.0,68960.0,69039.0,0.0,69113.0,0.0,,,0.0,0.0,68980.0,67934.0,,,68372.0,0.0,0.0,,0.0,,,68777.0,,0.0,68483.0,68469.0,0.0
2021,Turkish Grand Prix,1,,86430.0,85177.0,84869.0,85881.0,85422.0,85174.0,85417.0,,,87525.0,85511.0,85138.0,84585.0,,,84592.0,85555.0,86086.0,,88449.0,,,84704.0,,85787.0,84963.0,85047.0,85409.0
2021,Turkish Grand Prix,2,,0.0,0.0,84015.0,0.0,84842.0,83914.0,85007.0,,,0.0,84601.0,84642.0,83082.0,,,83732.0,85200.0,0.0,,0.0,,,83817.0,,84795.0,83961.0,83579.0,84054.0
2021,Turkish Grand Prix,3,,0.0,0.0,83265.0,0.0,0.0,83477.0,0.0,,,0.0,84305.0,83954.0,82868.0,,,83196.0,0.0,0.0,,0.0,,,83326.0,,0.0,83706.0,82998.0,84368.0
