season,race_name,fullname,numero_quali,tiempo_ms
2021,Azerbaijan Grand Prix,Daniel Ricciardo,2,102558.0
2021,Azerbaijan Grand Prix,Daniel Ricciardo,3,0.0
2021,Azerbaijan Grand Prix,Esteban Ocon,1,102426.0
2021,Azerbaijan Grand Prix,Esteban Ocon,2,102273.0
2021,Azerbaijan Grand Prix,Esteban Ocon,3,0.0
2021,Azerbaijan Grand Prix,Fernando Alonso,1,102934.0
2021,Azerbaijan Grand Prix,Fernando Alonso,2,102195.0
2021,Azerbaijan Grand Prix,Fernando Alonso,3,102327.0
2021,Azerbaijan Grand Prix,George Russell,1,102728.0
2021,Azerbaijan Grand Prix,George Russell,2,102758.0
2021,Azerbaijan Grand Prix,George Russell,3,0.0
2021,Azerbaijan Grand Prix,Kimi Räikkönen,1,102923.0
2021,Azerbaijan Grand Prix,Kimi Räikkönen,2,102587.0
2021,Azerbaijan Grand Prix,Kimi Räikkönen,3,0.0
2021,Azerbaijan Grand Prix,Lance Stroll,1,0.0
2021,Azerbaijan Grand Prix,Lance Stroll,2,0.0
2021,Azerbaijan Grand Prix,Lance Stroll,3,0.0
2021,Azerbaijan Grand Prix,Lando Norris,1,102167.0
2021,Azerbaijan Grand Prix,Lando Norris,2,101813.0
2021,Azerbaijan Grand Prix,Lando Norris,3,101747.0
2021,Azerbaijan Grand Prix,Lewis Hamilton,1,101545.0
2021,Azerbaijan Grand Prix,Lewis Hamilton,2,101634.0
2021,Azerbaijan Grand Prix,Lewis Hamilton,3,101450.0
2021,Azerbaijan Grand Prix,Max Verstappen,1,101760.0
2021,Azerbaijan Grand Prix,Max Verstappen,2,101625.0
2021,Azerbaijan Grand Prix,Max Verstappen,3,101563.0
2021,Azerbaijan Grand Prix,Mick Schumacher,1,104158.0
2021,Azerbaijan Grand Prix,Mick Schumacher,2,0.0
2021,Azerbaijan Grand Prix,Mick Schumacher,3,0.0
2021,Azerbaijan Grand Prix,Nicholas Latifi,1,103128.0
2021,Azerbaijan Grand Prix,Nicholas Latifi,2,0.0
2021,Azerbaijan Grand Prix,Nicholas Latifi,3,0.0
2021,Azerbaijan Grand Prix,Nikita Mazepin,1,104238.0
2021,Azerbaijan Grand Prix,Nikita Mazepin,2,0.0
2021,Azerbaijan Grand Prix,Nikita Mazepin,3,0.0
2021,Azerbaijan Grand Prix,Pierre Gasly,1,102288.0
2021,Azerbaijan Grand Prix,Pierre Gasly,2,101932.0
2021,Azerbaijan Grand Prix,Pierre Gasly,3,101565.0
2021,Azerbaijan Grand Prix,Sebastian Vettel,1,102460.0
2021,Azerbaijan Grand Prix,Sebastian Vettel,2,102224.0
2021,Azerbaijan Grand Prix,Sebastian Vettel,3,0.0
2021,Azerbaijan Grand Prix,Sergio Pérez,1,101968.0
2021,Azerbaijan Grand Prix,Sergio Pérez,2,101630.0
2021,Azerbaijan Grand Prix,Sergio Pérez,3,101917.0
2021,Azerbaijan Grand Prix,Valtteri Bottas,1,102701.0
2021,Azerbaijan Grand Prix,Valtteri Bottas,2,102106.0
2021,Azerbaijan Grand Prix,Valtteri Bottas,3,102659.0
2021,Azerbaijan Grand Prix,Yuki Tsunoda,1,102521.0
2021,Azerbaijan Grand Prix,Yuki Tsunoda,2,101654.0
2021,Azerbaijan Grand Prix,Yuki Tsunoda,3,102211.0
2021,Bahrain Grand Prix,Antonio Giovinazzi,1,90998.0
2021,Bahrain Grand Prix,Antonio Giovinazzi,2,90708.0
2021,Bahrain Grand Prix,Antonio Giovinazzi,3,0.0
2021,Bahrain Grand Prix,Carlos Sainz,1,91653.0
2021,Bahrain Grand Prix,Carlos Sainz,2,90009.0
2021,Bahrain Grand Prix,Carlos Sainz,3,90215.0
2021,Bahrain Grand Prix,Charles Leclerc,1,90691.0
2021,Bahrain Grand Prix,Charles Leclerc,2,90010.0
2021,Bahrain Grand Prix,Charles Leclerc,3,89678.0
2021,Bahrain Grand Prix,Daniel Ricciardo,1,90795.0
2021,Bahrain Grand Prix,Daniel Ricciardo,2,90222.0
